Index,Date,Day,Week,Course,Credits,Rec,Hr,Met_rec,Sick,Notes,Hex_Code
298,7-Mar-24,Thursday,09,CSE 111,2,6,#N/A,0,0,,
299,7-Mar-24,Thursday,09,MKT 275,3,9,00.50,1,0,,
300,7-Mar-24,Thursday,09,MATH 221,3,9,#N/A,0,0,,
301,8-Mar-24,Friday,09,ACCTG 201,3,9,#N/A,1,0,,
302,8-Mar-24,Friday,09,MATH 101,4,12,#N/A,1,0,,
303,8-Mar-24,Friday,09,CSE 111,2,6,#N/A,0,0,,
304,8-Mar-24,Friday,09,MKT 275,3,9,#N/A,1,0,,
305,8-Mar-24,Friday,09,MATH 221,3,9,#N/A,0,0,,
306,9-Mar-24,Saturday,09,ACCTG 201,3,9,#N/A,1,0,,
307,9-Mar-24,Saturday,09,MATH 101,4,12,02.50,1,0,,
308,9-Mar-24,Saturday,09,CSE 111,2,6,#N/A,0,0,,
309,9-Mar-24,Saturday,09,MKT 275,3,9,#N/A,1,0,,
310,9-Mar-24,Saturday,09,MATH 221,3,9,#N/A,0,0,,
311,10-Mar-24,Sunday,09,ACCTG 201,3,9,#N/A,1,0,,
312,10-Mar-24,Sunday,09,MATH 101,4,12,01.00,1,0,,
313,10-Mar-24,Sunday,09,CSE 111,2,6,#N/A,0,0,,
314,10-Mar-24,Sunday,09,MKT 275,3,9,#N/A,1,0,,
315,10-Mar-24,Sunday,09,MATH 221,3,9,#N/A,0,0,,
316,11-Mar-24,Monday,10,ACCTG 201,3,9,#N/A,0,0,,
317,11-Mar-24,Monday,10,MATH 101,4,12,02.75,0,0,,
318,11-Mar-24,Monday,10,CSE 111,2,6,#N/A,0,0,,
319,11-Mar-24,Monday,10,MKT 275,3,9,01.50,1,0,,
320,11-Mar-24,Monday,10,MATH 221,3,9,07.00,1,0,,
321,12-Mar-24,Tuesday,10,ACCTG 201,3,9,#N/A,0,0,,
322,12-Mar-24,Tuesday,10,MATH 101,4,12,03.50,0,0,,
323,12-Mar-24,Tuesday,10,CSE 111,2,6,00.15,0,0,,
324,12-Mar-24,Tuesday,10,MKT 275,3,9,02.50,1,0,,
325,12-Mar-24,Tuesday,10,MATH 221,3,9,00.50,1,0,,
326,13-Mar-24,Wednesday,10,ACCTG 201,3,9,05.25,0,0,,
327,13-Mar-24,Wednesday,10,MATH 101,4,12,#N/A,0,0,,
328,13-Mar-24,Wednesday,10,CSE 111,2,6,#N/A,0,0,,
329,13-Mar-24,Wednesday,10,MKT 275,3,9,10.25,1,0,,
330,13-Mar-24,Wednesday,10,MATH 221,3,9,00.50,1,0,,
331,14-Mar-24,Thursday,10,ACCTG 201,3,9,#N/A,0,0,,
332,14-Mar-24,Thursday,10,MATH 101,4,12,#N/A,0,0,,
333,14-Mar-24,Thursday,10,CSE 111,2,6,#N/A,0,0,,
334,14-Mar-24,Thursday,10,MKT 275,3,9,#N/A,1,0,,
335,14-Mar-24,Thursday,10,MATH 221,3,9,#N/A,1,0,,
336,15-Mar-24,Friday,10,ACCTG 201,3,9,#N/A,0,0,,
337,15-Mar-24,Friday,10,MATH 101,4,12,#N/A,0,0,,
338,15-Mar-24,Friday,10,CSE 111,2,6,#N/A,0,0,,
339,15-Mar-24,Friday,10,MKT 275,3,9,08.00,1,0,,
340,15-Mar-24,Friday,10,MATH 221,3,9,#N/A,1,0,,
341,16-Mar-24,Saturday,10,ACCTG 201,3,9,#N/A,0,0,,
342,16-Mar-24,Saturday,10,MATH 101,4,12,#N/A,0,0,,
343,16-Mar-24,Saturday,10,CSE 111,2,6,#N/A,0,0,,
344,16-Mar-24,Saturday,10,MKT 275,3,9,05.50,1,0,,
345,16-Mar-24,Saturday,10,MATH 221,3,9,06.75,1,0,,
346,17-Mar-24,Sunday,10,ACCTG 201,3,9,#N/A,0,0,,
347,17-Mar-24,Sunday,10,MATH 101,4,12,#N/A,0,0,,
348,17-Mar-24,Sunday,10,CSE 111,2,6,#N/A,0,0,,
349,17-Mar-24,Sunday,10,MKT 275,3,9,00.50,1,0,,
350,17-Mar-24,Sunday,10,MATH 221,3,9,06.50,1,0,,
351,18-Mar-24,Monday,11,ACCTG 201,3,9,06.75,1,0,,
352,18-Mar-24,Monday,11,MATH 101,4,12,#N/A,1,0,,
353,18-Mar-24,Monday,11,CSE 111,2,6,#N/A,1,0,,
354,18-Mar-24,Monday,11,MKT 275,3,9,02.00,0,0,,
355,18-Mar-24,Monday,11,MATH 221,3,9,#N/A,0,0,,
356,19-Mar-24,Tuesday,11,ACCTG 201,3,9,05.50,1,0,,
357,19-Mar-24,Tuesday,11,MATH 101,4,12,01.75,1,0,,
358,19-Mar-24,Tuesday,11,CSE 111,2,6,01.50,1,0,,
359,19-Mar-24,Tuesday,11,MKT 275,3,9,#N/A,0,0,,
360,19-Mar-24,Tuesday,11,MATH 221,3,9,#N/A,0,0,,
