glpostingdate,timestamp,aftercloseflag,sourcename,glaccountid,glaccountname,deptname,divisionname,deptid,dividx,username,ref1,sourceidx,drcr,amount,dr,cr,reportdate,astitle,ascompanyname,rolluppayments,ponum
10/21/25 0:00,10/29/25 14:30,N,Invoicing,655,Freight,Rigby Produce,Rigby Produce,1,1,NICK,"Progressive Produce Corp.`204228La Mirada, CA",10,C,-1800,0,1800,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",616,
10/21/25 0:00,10/29/25 14:30,N,Invoicing,655,Freight,Rigby Produce,Rigby Produce,1,1,NICK,"Progressive Produce Corp.`204228La Mirada, CA",10,D,2077,2077,0,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",617,
10/21/25 0:00,10/29/25 14:33,N,Invoicing,655,Freight,Rigby Produce,Rigby Produce,1,1,NICK,"Progressive Produce Corp.`204152La Mirada, CA",10,C,-1800,0,1800,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",632,
10/21/25 0:00,10/29/25 14:33,N,Invoicing,655,Freight,Rigby Produce,Rigby Produce,1,1,NICK,"Progressive Produce Corp.`204152La Mirada, CA",10,D,2097,2097,0,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",633,
10/21/25 0:00,10/29/25 15:28,N,Invoicing,655,Freight,Rigby Produce,Rigby Produce,1,1,JULIE,Mack Farms Inc`203802Florida,10,D,0,0,0,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",653,
10/21/25 0:00,10/30/25 8:28,N,Invoicing,655,Freight,Rigby Produce,Rigby Produce,1,1,MARY,"Progressive Produce Corp.`204149La Mirada, CA",10,C,-1800,0,1800,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",684,
10/21/25 0:00,10/30/25 8:28,N,Invoicing,655,Freight,Rigby Produce,Rigby Produce,1,1,MARY,"Progressive Produce Corp.`204149La Mirada, CA",10,D,1997,1997,0,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",685,
10/22/25 0:00,10/22/25 13:42,N,Invoicing,655,Freight,Rigby Produce,Rigby Produce,1,1,BEAU,North American Produce`201206Philadelphia,10,C,-5800,0,5800,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",999,
10/22/25 0:00,10/22/25 13:42,N,Invoicing,655,Freight,Rigby Produce,Rigby Produce,1,1,BEAU,North American Produce`201206Philadelphia,10,D,5835,5835,0,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",1000,
10/22/25 0:00,10/22/25 13:43,N,Invoicing,655,Freight,Rigby Produce,Rigby Produce,1,1,BEAU,Matranas Produce Inc`201392LA,10,C,-5500,0,5500,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",1024,
10/22/25 0:00,10/22/25 13:43,N,Invoicing,655,Freight,Rigby Produce,Rigby Produce,1,1,BEAU,Matranas Produce Inc`201392LA,10,D,5600,5600,0,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",1025,
